book_id,title,author,genre,year,description
1,To Kill a Mockingbird,Harper Lee,Fiction,1960,A classic novel about racial injustice and childhood innocence in the American South through the eyes of young Scout Finch.
2,1984,George Orwell,Fiction,1949,"A dystopian novel set in a totalitarian society ruled by Big Brother, exploring themes of surveillance, truth, and freedom."
3,The Great Gatsby,F. Scott Fitzgerald,Fiction,1925,"A tale of wealth, love, and the American Dream set in the Jazz Age, following the mysterious millionaire Jay Gatsby."
4,Pride and Prejudice,Jane Austen,Fiction,1813,A romantic novel about the complex relationship between Elizabeth Bennet and Mr. Darcy in Regency-era England.
5,The Catcher in the Rye,J.D. Salinger,Fiction,1951,A coming-of-age story following teenager Holden Caulfield as he navigates alienation and loss in New York City.
6,Dune,Frank Herbert,Science Fiction,1965,"An epic science fiction saga set on the desert planet Arrakis, exploring politics, religion, and ecology in a far future universe."
7,Ender's Game,Orson Scott Card,Science Fiction,1985,"A young genius is recruited to a military academy in space to prepare for an alien invasion, facing moral dilemmas along the way."
8,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction,1979,A comedic science fiction adventure following Arthur Dent across the galaxy after Earth is demolished for a hyperspace bypass.
9,Neuromancer,William Gibson,Science Fiction,1984,A groundbreaking cyberpunk novel about a washed-up computer hacker hired for the ultimate hack in a dystopian future.
10,Foundation,Isaac Asimov,Science Fiction,1951,A mathematician predicts the fall of the Galactic Empire and establishes a foundation to preserve knowledge and shorten the dark age.
11,The Girl with the Dragon Tattoo,Stieg Larsson,Mystery,2005,"A journalist and a brilliant hacker investigate a decades-old disappearance, uncovering dark family secrets and corruption."
12,Gone Girl,Gillian Flynn,Mystery,2012,A psychological thriller about a wife's disappearance and the dark secrets lurking beneath a seemingly perfect marriage.
13,The Da Vinci Code,Dan Brown,Mystery,2003,"A symbologist unravels a trail of clues hidden in the works of Leonardo da Vinci, leading to a shocking historical secret."
14,And Then There Were None,Agatha Christie,Mystery,1939,Ten strangers are lured to an isolated island where they are killed one by one according to a nursery rhyme.
15,The Silent Patient,Alex Michaelides,Mystery,2019,A famous painter shoots her husband and then never speaks again; a psychotherapist becomes obsessed with uncovering her motive.
16,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,1997,A young orphan discovers he is a wizard and begins his education at Hogwarts School of Witchcraft and Wizardry.
17,The Lord of the Rings,J.R.R. Tolkien,Fantasy,1954,An epic fantasy quest to destroy the One Ring and save Middle-earth from the Dark Lord Sauron.
18,A Game of Thrones,George R.R. Martin,Fantasy,1996,"Noble families vie for control of the Iron Throne in a sprawling epic of political intrigue, war, and supernatural threats."
19,The Name of the Wind,Patrick Rothfuss,Fantasy,2007,"A legendary figure tells the true story of his life, from orphaned troupe performer to the most notorious wizard of his age."
20,The Hobbit,J.R.R. Tolkien,Fantasy,1937,A homebody hobbit is swept into an epic quest to reclaim a dwarven kingdom and its treasure from a dragon.
